Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1037TS129_1D1,56.72,0.8090,78.1,,0.6376,,29.1,,0.2276,,78.5,,0.7058,,29.4,,0.2388,,78.5,,0.7023,,29.1,,0.238,,78.4,,0.7006,,28.7,,0.2224,,129
T1040TS129_1-D1,55.22,0.5051,54.1,,0.5641,,39.9,,0.3322,,56.7,,0.6623,,41.6,,0.3427,,59.3,,0.6145,,41.8,,0.3919,,61.7,,0.6183,,42.7,,0.3916,,129
T1041TS129_1-D1,60.16,0.7672,76.5,,0.7565,,30.3,,0.2124,,77.1,,0.7494,,33.9,,0.2171,,77,,0.745,,41.1,,0.2241,,76.2,,0.741,,40.7,,0.2247,,129
T1042TS129_1-D1,56.17,0.7266,60.3,,0.6485,,31.3,,0.2882,,71,,0.6897,,31.5,,0.3064,,72.1,,0.6246,,30.9,,0.3053,,72.1,,0.6259,,31,,0.307,,129
T1049TS129_1-D1,55.21,0.6744,83,,0.7846,,29.1,,0.235,,81.9,,0.8242,,29.7,,0.2368,,82.3,,0.8373,,29.5,,0.2409,,81.9,,0.8381,,29,,0.2424,,129
T1074TS129_1-D1,49.54,0.5912,61.3,,0.7102,,32.6,,0.3615,,60.4,,0.7326,,33.1,,0.3539,,60.1,,0.7302,,37.2,,0.3778,,60.6,,0.7337,,37.5,,0.3844,,129
T1090TS129_1-D1,51.62,0.6727,85.1,,0.7555,,27.8,,0.1921,,88.9,,0.8074,,29.4,,0.2482,,89.6,,0.7883,,33.5,,0.2136,,90,,0.8334,,35.3,,0.2239,,129
T1096TS129_1,61.31,0.5387,68.1,,0.7148,,29.4,,0.2843,,67.5,,0.7209,,30,,0.3021,,67.3,,0.7211,,29.8,,0.2974,,66.8,,0.7215,,29.5,,0.3007,,129
T1027TS403_1-D1,53.27,0.5499,66.9,,0.4244,,33.3,,0.2689,,68.6,,0.4318,,34.4,,0.2575,,67.9,,0.461,,35.8,,0.264,,68,,0.4516,,37.4,,0.2887,,403
T1031TS403_1-D1,58.05,0.6284,74.4,,0.7125,,48.3,,0.3126,,77.6,,0.7358,,54,,0.3493,,79.3,,0.6826,,55.2,,0.3493,,79.8,,0.6831,,54.2,,0.3481,,403
T1033TS403_1-D1,69.01,0.6955,73.4,,0.7632,,51.3,,0.3547,,73,,0.7554,,52.5,,0.373,,72.8,,0.7536,,51.9,,0.3715,,72.5,,0.727,,51.3,,0.3696,,403
T1037TS403_1-D1,61.10,0.8384,78.4,,0.6953,,28.9,,0.2077,,78.5,,0.7058,,29.1,,0.2357,,78.5,,0.7023,,28.8,,0.2356,,78.4,,0.7006,,28.6,,0.235,,403
T1039TS403_1-D1,54.38,0.7181,79.4,,0.6902,,43.2,,0.3442,,83.2,,0.7304,,38.4,,0.3256,,83.1,,0.7253,,40.1,,0.3548,,82.7,,0.7215,,38.5,,0.3368,,403
T1041TS403_1-D1,62.17,0.7787,77.1,,0.8142,,30.3,,0.2124,,78.6,,0.8203,,33.9,,0.2171,,79.1,,0.6786,,41.1,,0.2241,,78,,0.6815,,40.7,,0.2247,,403
T1042TS403_1-D1,59.15,0.7533,60.3,,0.6485,,31.3,,0.2865,,71.4,,0.6714,,31.5,,0.307,,73.6,,0.6932,,30.8,,0.3049,,74.4,,0.694,,31.1,,0.3074,,403
T1043TS403_1-D1,59.79,0.7211,32.1,,0.1934,,34.4,,0.2395,,33.2,,0.214,,34.6,,0.2406,,30.7,,0.2021,,33.8,,0.2364,,31.5,,0.2438,,38.5,,0.2419,,403
T1049TS403_1-D1,60.26,0.7354,76.4,,0.755,,29.1,,0.235,,79.4,,0.7719,,29.7,,0.2368,,80.3,,0.7681,,29.5,,0.2409,,80.3,,0.7666,,29,,0.2424,,403
T1090TS403_1-D1,58.45,0.7347,88.5,,0.8242,,27.5,,0.2072,,90,,0.8263,,29.2,,0.23,,90.4,,0.8445,,33.3,,0.2132,,90.5,,0.8398,,35.4,,0.2223,,403
T1096TS403_1,59.09,0.4971,68.1,,0.7148,,29.5,,0.2851,,67.5,,0.7209,,30.3,,0.2948,,67.3,,0.7211,,29.9,,0.2997,,66.8,,0.7215,,29.5,,0.3141,,403
T1031TS473_1-D1,61.97,0.7264,77.3,,0.6747,,48.3,,0.3126,,77.3,,0.6536,,54,,0.3493,,77.4,,0.6556,,55.2,,0.3493,,77.7,,0.6369,,54.2,,0.3481,,473
T1033TS473_1-D1,68.94,0.7821,73.9,,0.7711,,51.3,,0.3547,,74,,0.7524,,52.5,,0.373,,73.2,,0.7658,,51.9,,0.3715,,72.5,,0.727,,51.3,,0.3696,,473
T1037TS473_1-D1,57.69,0.8079,78.4,,0.6953,,28.9,,0.2077,,78.5,,0.7058,,29.1,,0.2357,,78.5,,0.7023,,28.8,,0.2356,,78.4,,0.7006,,28.6,,0.235,,473
T1039TS473_1-D1,60.11,0.7982,84.6,,0.645,,43.2,,0.3442,,83.5,,0.6554,,38.4,,0.3256,,85.2,,0.6984,,40.1,,0.3553,,85.2,,0.6987,,38.4,,0.3341,,473
T1041TS473_1-D1,57.28,0.7171,77.1,,0.8142,,30.3,,0.2124,,78.6,,0.8203,,33.9,,0.2171,,80.2,,0.6235,,41.1,,0.2241,,80.7,,0.812,,40.7,,0.2247,,473
T1042TS473_1-D1,63.15,0.7331,60.3,,0.6485,,31.3,,0.2865,,71.4,,0.6714,,31.5,,0.307,,73.6,,0.6932,,30.8,,0.3049,,74.4,,0.694,,31.1,,0.3074,,473
T1043TS473_1-D1,53.32,0.6625,32.1,,0.1934,,34.4,,0.2395,,33.2,,0.214,,34.6,,0.2406,,30.3,,0.1927,,33.8,,0.2364,,34.8,,0.2724,,38.5,,0.2419,,473
T1049TS473_1-D1,64.30,0.7710,79,,0.7016,,29.1,,0.235,,78.1,,0.7299,,29.7,,0.2368,,79.9,,0.7508,,29.5,,0.2409,,80.4,,0.7518,,29,,0.2424,,473
T1074TS473_1-D1,49.13,0.5764,64.1,,0.5137,,32.6,,0.3615,,59.9,,0.5542,,33.1,,0.3539,,59.1,,0.5699,,37.2,,0.3778,,58.2,,0.575,,37.5,,0.3845,,473
T1090TS473_1-D1,62.15,0.7674,88.6,,0.8233,,27.5,,0.2072,,89.4,,0.8359,,29.2,,0.23,,89.9,,0.8351,,33.2,,0.2126,,89.4,,0.6423,,35.4,,0.2222,,473
T1031TS480_1-D1,60.50,0.7393,74,,0.648,,48.3,,0.3126,,77.3,,0.6536,,54,,0.3493,,77.4,,0.6556,,55.2,,0.3493,,77.7,,0.6369,,54.2,,0.3481,,480
T1037TS480_1-D1,52.94,0.7791,77.9,,0.7087,,28.9,,0.2077,,78.4,,0.716,,29.1,,0.2357,,78.4,,0.7158,,28.8,,0.2356,,78.6,,0.7161,,28.6,,0.235,,480
T1041TS480_1-D1,56.73,0.7629,72.7,,0.6888,,30.3,,0.2124,,73.6,,0.7062,,33.9,,0.2171,,74.6,,0.7251,,41.1,,0.2241,,74.7,,0.8312,,40.7,,0.2247,,480
T1042TS480_1-D1,58.45,0.7522,62.4,,0.6614,,31.3,,0.2865,,70.4,,0.6873,,31.5,,0.307,,71.4,,0.6899,,30.8,,0.3049,,72.6,,0.6823,,31.1,,0.3074,,480
T1049TS480_1-D1,61.50,0.7556,80.1,,0.7396,,29.1,,0.235,,79.7,,0.7551,,29.7,,0.2368,,79.6,,0.7542,,29.5,,0.2409,,79.6,,0.7539,,29,,0.2424,,480
T1074TS480_1-D1,42.37,0.4871,55.5,,0.4604,,32.6,,0.3614,,53.8,,0.4652,,33.1,,0.3538,,55.2,,0.7372,,37.2,,0.3778,,63.5,,0.7968,,37.5,,0.3845,,480
T1090TS480_1-D1,55.14,0.6871,82.5,,0.7685,,27.5,,0.2072,,88.3,,0.8291,,29.2,,0.23,,90.4,,0.8445,,33.2,,0.2127,,90.5,,0.8398,,35.4,,0.2222,,480
T1096TS480_1,65.70,0.5345,68.1,,0.7148,,29.5,,0.2851,,67.5,,0.7209,,30.3,,0.2949,,67.3,,0.7211,,29.9,,0.2997,,66.8,,0.7215,,29.6,,0.3158,,480
