Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1031TS403_1-D1,58.05,0.6284,80,,0.6903,,82.6,,0.6121,,80.9,,0.6857,,82.3,,0.6148,,79.7,,0.7399,,82.4,,0.619,,80.5,,0.7542,,82.1,,0.6183,,403
T1033TS403_1-D1,69.01,0.6955,74.1,,0.7745,,78.5,,0.7391,,74.9,,0.7629,,77.4,,0.7455,,74.3,,0.7439,,76.7,,0.7447,,74.5,,0.7625,,76.4,,0.744,,403
T1037TS403_1-D1,61.10,0.8384,81.1,,0.6419,,90.1,,0.6211,,83.1,,0.645,,89.8,,0.6214,,83.8,,0.6441,,89.8,,0.6211,,84.5,,0.6416,,89.7,,0.6211,,403
T1039TS403_1-D1,54.38,0.7181,85.7,,0.6944,,89.4,,0.5533,,87.1,,0.7088,,83.4,,0.5628,,86.1,,0.6927,,80.2,,0.5692,,86.3,,0.6858,,78.5,,0.5788,,403
T1041TS403_1-D1,62.17,0.7787,79.2,,0.8042,,90.5,,0.6287,,81.8,,0.661,,89.5,,0.6319,,82,,0.823,,89,,0.6339,,80.7,,0.812,,88.4,,0.6392,,403
T1042TS403_1-D1,59.15,0.7533,77.4,,0.6524,,83.5,,0.6003,,77.9,,0.6535,,82.2,,0.6021,,77.9,,0.6521,,81.2,,0.6033,,77.3,,0.6518,,80,,0.6035,,403
T1043TS403_1-D1,59.79,0.7211,76.4,,0.6225,,78.2,,0.6197,,75.3,,0.6216,,76.3,,0.6195,,73.3,,0.6234,,76,,0.621,,72.3,,0.6236,,75.6,,0.6208,,403
T1049TS403_1-D1,60.26,0.7354,88.7,,0.8473,,79.7,,0.6452,,87.7,,0.8572,,78.4,,0.6526,,88.2,,0.8645,,78.4,,0.636,,88.7,,0.8689,,78.1,,0.6347,,403
T1090TS403_1-D1,58.45,0.7347,88.7,,0.8232,,88.1,,0.6043,,90.1,,0.8382,,85.7,,0.6172,,90.9,,0.8368,,85.7,,0.6174,,91.2,,0.8323,,85.5,,0.617,,403
T1096TS403_1,59.09,0.4971,76.7,,0.7176,,90.5,,0.597,,75.8,,0.7242,,88.8,,0.5964,,76.8,,0.6191,,88.7,,0.5981,,78,,0.6111,,88.2,,0.598,,403
T1031TS473_1-D1,61.97,0.7264,80,,0.6903,,94.3,,0.633,,80.9,,0.6858,,94.2,,0.6346,,79.4,,0.6759,,94.3,,0.6301,,81.2,,0.6922,,94.1,,0.6311,,473
T1033TS473_1-D1,68.94,0.7821,75.3,,0.736,,87.8,,0.7096,,74.9,,0.7629,,86.8,,0.7113,,74.3,,0.7439,,86,,0.7126,,73.9,,0.7649,,85.5,,0.7115,,473
T1037TS473_1-D1,57.69,0.8079,88.4,,0.5976,,93.8,,0.5835,,90.2,,0.606,,93.1,,0.5845,,90.9,,0.6048,,92.9,,0.5845,,90.9,,0.6042,,92.6,,0.585,,473
T1039TS473_1-D1,60.11,0.7982,85.7,,0.6944,,93.7,,0.609,,87.1,,0.7088,,93.3,,0.609,,86.1,,0.6927,,93.3,,0.6088,,86.3,,0.6858,,93,,0.6129,,473
T1041TS473_1-D1,57.28,0.7171,79.2,,0.8042,,91.6,,0.5859,,81.1,,0.6165,,91.1,,0.586,,82.2,,0.8159,,90.8,,0.5863,,82.1,,0.8218,,90.5,,0.5868,,473
T1042TS473_1-D1,63.15,0.7331,76,,0.6625,,81.3,,0.6555,,76,,0.665,,78.8,,0.6576,,76.8,,0.6656,,77.6,,0.6616,,76.7,,0.6649,,76.8,,0.6611,,473
T1043TS473_1-D1,53.32,0.6625,79.1,,0.577,,82.1,,0.5749,,79.8,,0.5785,,78.4,,0.5877,,78,,0.5803,,76.5,,0.5979,,75.1,,0.5823,,74.7,,0.6001,,473
T1049TS473_1-D1,64.30,0.7710,88.7,,0.8473,,93.1,,0.6585,,87.7,,0.8572,,92,,0.6614,,88.2,,0.8645,,91.4,,0.662,,88.7,,0.8689,,91.2,,0.6613,,473
T1074TS473_1-D1,49.13,0.5764,69.7,,0.834,,66.4,,0.5081,,70.6,,0.8728,,64.8,,0.5088,,70.4,,0.8841,,65.4,,0.5114,,72.3,,0.8462,,65.2,,0.5123,,473
T1090TS473_1-D1,62.15,0.7674,90.1,,0.6391,,93.1,,0.6318,,90.5,,0.8341,,92.8,,0.6318,,90.5,,0.6401,,92.8,,0.6313,,90.5,,0.8398,,92.6,,0.6323,,473
T1031TS480_1-D1,60.50,0.7393,80,,0.6903,,87.2,,0.6271,,80.5,,0.6909,,84.1,,0.6282,,79.3,,0.6826,,82.7,,0.6286,,79.8,,0.6831,,81.6,,0.63,,480
T1037TS480_1-D1,52.94,0.7791,80,,0.5621,,88.7,,0.541,,81.3,,0.5682,,87.7,,0.5431,,82.6,,0.5783,,87.4,,0.5428,,82.4,,0.5864,,87.1,,0.5425,,480
T1041TS480_1-D1,56.73,0.7629,77.1,,0.8142,,87.2,,0.5754,,78.6,,0.8203,,84.7,,0.5756,,82,,0.823,,84.1,,0.577,,80.7,,0.812,,83.7,,0.577,,480
T1042TS480_1-D1,58.45,0.7522,76.9,,0.6071,,84.4,,0.5967,,79.7,,0.6042,,83.6,,0.601,,81.4,,0.6013,,83.1,,0.6015,,82.1,,0.6008,,82.7,,0.6017,,480
T1049TS480_1-D1,61.50,0.7556,87.6,,0.8496,,80.8,,0.6658,,87.2,,0.8571,,80.5,,0.6722,,88.4,,0.8704,,80.5,,0.665,,88.6,,0.8724,,80,,0.6651,,480
T1074TS480_1-D1,42.37,0.4871,68.6,,0.8366,,62.8,,0.442,,71.9,,0.846,,62.1,,0.4394,,72.4,,0.8484,,61.6,,0.4394,,72.1,,0.8492,,60.6,,0.4386,,480
T1090TS480_1-D1,55.14,0.6871,88.6,,0.8233,,83.7,,0.5727,,90.1,,0.8382,,81.9,,0.5728,,90.9,,0.8454,,80.7,,0.5731,,91.3,,0.8461,,79.9,,0.5752,,480
T1096TS480_1,65.70,0.5345,82.5,,0.6821,,92.1,,0.6631,,84.6,,0.6823,,91.4,,0.6643,,84.8,,0.6808,,91.4,,0.6638,,85.6,,0.6803,,91.3,,0.6639,,480
