Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1041TS473_1-D1,57.28,0.7171,78.5,0.805,0.6222,0.7467,32.3,0.206,0.2576,0.2329,80.2,0.823,0.6273,0.7483,34.2,0.282,0.2236,0.1758,82,0.84,0.823,0.9233,44.4,0.378,0.2285,0.23,81,0.826,0.6202,0.7425,55.2,0.47,0.225,0.2073,473
T1042TS473_1-D1,63.15,0.7331,64.5,0.545,0.6525,0.5455,34,0.208,0.286,0.2062,75.4,0.683,0.6809,0.6603,32,0.249,0.2908,0.2327,73.9,0.669,0.6849,0.6667,32.3,0.249,0.2943,0.2304,75.3,0.682,0.676,0.6846,32.1,0.249,0.2957,0.2377,473
T1043TS473_1-D1,53.32,0.6625,32.7,0.231,0.2043,0.2046,36.7,0.289,0.2364,0.1853,33.2,0.245,0.2027,0.199,36,0.276,0.2535,0.2529,32.8,0.228,0.2354,0.2214,39.7,0.326,0.2588,0.2482,36,0.314,0.2718,0.2704,45.4,0.384,0.2599,0.2474,473
T1049TS473_1-D1,64.30,0.7710,87.4,0.825,0.8393,0.9279,31.2,0.202,0.2544,0.2327,86.8,0.825,0.8524,0.9296,30.4,0.193,0.2613,0.2355,86.3,0.82,0.8513,0.9304,30.3,0.196,0.2461,0.2263,85.5,0.811,0.8518,0.9288,29.5,0.191,0.2444,0.2272,473
T1074TS473_1-D1,49.13,0.5764,68.3,0.621,0.8103,0.8964,35,0.256,0.3594,0.3932,68.5,0.619,0.8137,0.8967,36.7,0.267,0.3795,0.4346,67.7,0.612,0.8149,0.9004,39.6,0.275,0.3962,0.4605,67.2,0.611,0.8163,0.9015,42.4,0.297,0.384,0.423,473
T1090TS473_1-D1,62.15,0.7674,88.7,0.857,0.8232,0.9161,32.9,0.26,0.2322,0.2221,90.1,0.865,0.8383,0.9354,36.6,0.295,0.2443,0.2447,90.4,0.866,0.8445,0.939,35.9,0.319,0.2491,0.2154,90,0.864,0.8334,0.9289,37.7,0.33,0.2528,0.2199,473
T1031TS480_1-D1,60.50,0.7393,77.4,0.606,0.6777,0.8086,56.9,0.392,0.3107,0.2174,79,0.637,0.6867,0.8383,58.5,0.4,0.312,0.222,78.4,0.624,0.6911,0.8421,58.3,0.383,0.3111,0.2161,78.9,0.632,0.6924,0.84,60.3,0.389,0.3103,0.2124,480
T1037TS480_1-D1,52.94,0.7791,79.9,0.81,0.7174,0.8565,29.3,0.196,0.2094,0.1673,78.8,0.801,0.723,0.8701,29.2,0.291,0.2196,0.2135,79.7,0.804,0.7187,0.8643,29,0.291,0.2222,0.2165,80.1,0.806,0.718,0.8639,28.7,0.291,0.2242,0.2267,480
T1041TS480_1-D1,56.73,0.7629,74,0.78,0.7965,0.9134,32.3,0.206,0.2576,0.2329,73.9,0.776,0.7179,0.8717,34.2,0.282,0.2236,0.1758,75.2,0.784,0.8039,0.9141,44.4,0.378,0.2285,0.23,75.3,0.795,0.7235,0.8717,55.2,0.47,0.2249,0.2074,480
T1042TS480_1-D1,58.45,0.7522,62.8,0.52,0.6243,0.6957,34,0.208,0.286,0.2062,73.8,0.66,0.6898,0.6757,32,0.249,0.2909,0.2328,74.5,0.665,0.6866,0.6714,32.3,0.249,0.2943,0.2304,75,0.663,0.6793,0.6777,32.1,0.249,0.2958,0.2377,480
T1049TS480_1-D1,61.50,0.7556,86.2,0.813,0.8314,0.9244,31.2,0.202,0.2544,0.2327,86.1,0.82,0.8487,0.9289,30.4,0.193,0.2613,0.2355,86.1,0.819,0.8505,0.9288,30.3,0.196,0.2461,0.2263,85.3,0.808,0.8541,0.9297,29.5,0.191,0.2443,0.2272,480
T1074TS480_1-D1,42.37,0.4871,67.7,0.614,0.8149,0.9017,35,0.256,0.3594,0.3932,67.3,0.611,0.8154,0.9014,36.7,0.267,0.3795,0.4346,68.2,0.616,0.8135,0.8968,39.6,0.275,0.3962,0.4606,67.6,0.612,0.8112,0.8934,42.3,0.297,0.3838,0.4229,480
T1090TS480_1-D1,55.14,0.6871,87.8,0.853,0.8178,0.9268,32.9,0.26,0.2322,0.2221,89.4,0.86,0.8359,0.9346,36.6,0.296,0.2443,0.2448,90.8,0.871,0.8305,0.9194,35.9,0.319,0.2491,0.2154,91.2,0.876,0.8323,0.9186,37.7,0.33,0.2528,0.2199,480
T1096TS480_1,65.70,0.5345,76.7,0.547,0.7176,0.5365,30.2,0.215,0.3001,0.1917,75.8,0.543,0.7242,0.5383,30.6,0.214,0.314,0.194,76,0.545,0.7241,0.5394,30.2,0.214,0.3131,0.1921,74.3,0.537,0.7258,0.5412,30.3,0.214,0.3109,0.1894,480
