Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore
T1047s1TS427_1-D1,75.18,0.5589,75.9,0.624,0.7492,0.5325,28.5,0.198,0.3492,0.1979,76.8,0.63,0.7495,0.5363,29.1,0.193,0.3624,0.2091,77.2,0.625,0.748,0.5316,29.3,0.193,0.3728,0.2166,78.1,0.635,0.7483,0.5309,30.1,0.197,0.3815,0.2227
T1047s2TS427_1,77.57,0.7731,81.4,0.63,0.7849,0.8632,29.9,0.181,0.2582,0.1921,83,0.637,0.7836,0.8686,29.9,0.182,0.2731,0.215,83.9,0.637,0.7835,0.8689,29.8,0.176,0.2715,0.2283,84.1,0.647,0.7831,0.8567,30.1,0.179,0.272,0.2438
T1055TS427_1-D1,73.65,0.8978,78.7,0.748,0.7438,0.9092,31.2,0.21,0.2544,0.2272,79,0.757,0.7443,0.908,30.9,0.222,0.2727,0.2621,78.6,0.746,0.7415,0.905,31.1,0.19,0.2631,0.2163,77.9,0.741,0.7426,0.9048,31.5,0.196,0.2604,0.2211
T1058TS427_1,82.62,0.9561,91.9,0.87,0.8125,0.9449,37.3,0.198,0.2488,0.1772,92.1,0.873,0.8099,0.9439,39.7,0.211,0.2545,0.1757,92.1,0.871,0.8093,0.9452,40.2,0.215,0.2468,0.1855,92,0.871,0.8073,0.9453,40.4,0.241,0.2334,0.2068
T1064TS427_1-D1,74.67,0.8117,35.2,0.224,0.2705,0.2291,31.3,0.195,0.2479,0.2095,37.9,0.243,0.266,0.2065,34.9,0.225,0.2925,0.293,48.2,0.435,0.2978,0.2719,35.2,0.226,0.287,0.2604,46.1,0.364,0.3289,0.2781,34.6,0.256,0.2515,0.2527
T1074TS427_1-D1,83.62,0.9160,69.7,0.615,0.834,0.9251,32.3,0.259,0.3683,0.3605,70.6,0.635,0.8728,0.9389,32.5,0.194,0.346,0.3888,70.4,0.632,0.8841,0.9431,37.3,0.258,0.3793,0.4389,72.3,0.628,0.8462,0.9469,36.6,0.286,0.377,0.4215
T1090TS427_1-D1,82.77,0.9148,88.6,0.856,0.8233,0.9159,27.8,0.206,0.1921,0.1716,90.1,0.865,0.8382,0.9354,29.4,0.224,0.2482,0.2174,90.4,0.866,0.8445,0.939,33.5,0.278,0.2136,0.1892,90.5,0.867,0.8398,0.9369,35.3,0.291,0.224,0.1956
T1093TS427_1,74.99,0.9356,84.3,0.549,0.719,0.6482,27.7,0.169,0.2599,0.1633,86,0.594,0.7429,0.6692,29.2,0.172,0.2835,0.1629,86.4,0.602,0.742,0.669,29.8,0.178,0.2898,0.1888,86.8,0.612,0.7241,0.6229,29.9,0.187,0.2724,0.173
T1094TS427_1,75.42,0.9101,83.4,0.835,0.7543,0.9094,25.9,0.169,0.2163,0.1735,84,0.84,0.7591,0.9144,26.2,0.166,0.2221,0.1807,84.3,0.837,0.7631,0.9168,26.5,0.172,0.2257,0.1716,84.4,0.838,0.7616,0.9183,27,0.173,0.2366,0.1809
T1096TS427_1,72.69,0.5585,68.1,0.538,0.7148,0.5307,29.4,0.148,0.2843,0.1904,67.5,0.521,0.7209,0.5414,30,0.175,0.3021,0.1765,67.3,0.531,0.7211,0.5398,67.3,0.531,0.7211,0.5398,66.8,0.524,0.7215,0.5411,29.5,0.176,0.3006,0.1562
