Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1049TS129_1-D1,55.21,0.6744,88.7,0.84,0.8473,0.9323,78.1,0.685,0.5981,0.7124,87.7,0.825,0.8572,0.9352,75.6,0.669,0.617,0.7294,88.2,0.83,0.8645,0.939,75,0.664,0.6225,0.7353,88.7,0.834,0.8689,0.9408,74.7,0.66,0.6251,0.7387,129
T1074TS129_1-D1,49.54,0.5912,69.7,0.615,0.834,0.9251,61.2,0.478,0.586,0.7096,70.6,0.635,0.8728,0.9389,60,0.465,0.5839,0.6878,70.4,0.632,0.8841,0.9431,59.5,0.462,0.6284,0.7275,72.3,0.628,0.8462,0.9469,59.5,0.452,0.5977,0.6986,129
T1090TS129_1-D1,51.62,0.6727,88.6,0.856,0.8233,0.9159,76.9,0.731,0.5349,0.6799,90.1,0.865,0.8382,0.9354,74.3,0.707,0.5383,0.6794,90.4,0.866,0.8445,0.939,74,0.7,0.5368,0.6788,90.5,0.867,0.8398,0.9369,73.6,0.696,0.5369,0.6791,129
T1096TS129_1,61.31,0.5387,77.6,0.689,0.6734,0.5556,89,0.857,0.6246,0.5423,77.5,0.673,0.6937,0.5623,86.9,0.835,0.6279,0.5434,77.2,0.657,0.6972,0.5652,86.4,0.828,0.6283,0.5442,77,0.656,0.6975,0.5648,86.2,0.824,0.6283,0.5441,129
T1027TS403_1-D1,53.27,0.5499,71.6,0.669,0.4231,0.4697,56.8,0.541,0.4403,0.4632,70.9,0.674,0.4345,0.4713,55.9,0.536,0.441,0.4659,70.4,0.668,0.4323,0.4728,58.5,0.544,0.4366,0.469,69.1,0.661,0.4335,0.4725,58.1,0.537,0.4368,0.4677,403
T1031TS403_1-D1,58.05,0.6284,80,0.645,0.6903,0.8132,82.6,0.648,0.6121,0.6875,80.9,0.654,0.6857,0.8171,82.3,0.645,0.6148,0.6929,79.7,0.659,0.7399,0.826,82.4,0.673,0.619,0.6987,80.5,0.662,0.7542,0.8622,82.1,0.668,0.6183,0.6994,403
T1033TS403_1-D1,69.01,0.6955,74.1,0.645,0.7745,0.8072,78.5,0.631,0.7391,0.7671,74.9,0.671,0.7629,0.8347,77.4,0.63,0.7455,0.7663,74.3,0.645,0.7439,0.8167,76.7,0.626,0.7447,0.7623,74.5,0.642,0.7625,0.7869,76.4,0.624,0.744,0.7573,403
T1037TS403_1-D1,61.10,0.8384,81.1,0.85,0.6419,0.8537,90.1,0.843,0.6211,0.841,83.1,0.859,0.645,0.8537,89.8,0.838,0.6214,0.8408,83.8,0.86,0.6441,0.8519,89.8,0.837,0.6211,0.8408,84.5,0.864,0.6416,0.8506,89.7,0.836,0.6211,0.8408,403
T1039TS403_1-D1,54.38,0.7181,85.7,0.839,0.6944,0.8454,89.4,0.77,0.5533,0.711,87.1,0.848,0.7088,0.8462,83.4,0.708,0.5628,0.7207,86.1,0.839,0.6927,0.8403,80.2,0.661,0.5692,0.7511,86.3,0.84,0.6858,0.8402,78.5,0.635,0.5788,0.7716,403
T1041TS403_1-D1,62.17,0.7787,79.2,0.812,0.8042,0.9114,90.5,0.819,0.6287,0.7778,81.8,0.831,0.661,0.8011,89.5,0.813,0.6319,0.7805,82,0.84,0.823,0.9233,89,0.804,0.6339,0.7808,80.7,0.822,0.812,0.9161,88.4,0.797,0.6392,0.7813,403
T1042TS403_1-D1,59.15,0.7533,77.4,0.72,0.6524,0.7711,83.5,0.714,0.6003,0.7541,77.9,0.716,0.6535,0.7719,82.2,0.694,0.6021,0.7556,77.9,0.704,0.6521,0.7704,81.2,0.678,0.6033,0.7552,77.3,0.699,0.6518,0.7688,80,0.664,0.6035,0.7544,403
T1043TS403_1-D1,59.79,0.7211,76.4,0.772,0.6225,0.7393,78.2,0.707,0.6197,0.7336,75.3,0.763,0.6216,0.7405,76.3,0.682,0.6195,0.7343,73.3,0.75,0.6234,0.7422,76,0.676,0.621,0.7339,72.3,0.743,0.6236,0.7426,75.6,0.671,0.6208,0.7332,403
T1049TS403_1-D1,60.26,0.7354,88.7,0.84,0.8473,0.9323,79.7,0.663,0.6452,0.755,87.7,0.825,0.8572,0.9352,78.4,0.653,0.6526,0.7615,88.2,0.83,0.8645,0.939,78.4,0.667,0.636,0.7585,88.7,0.834,0.8689,0.9408,78.1,0.648,0.6347,0.7571,403
T1090TS403_1-D1,58.45,0.7347,88.7,0.857,0.8232,0.9161,88.1,0.769,0.6043,0.7525,90.1,0.865,0.8382,0.9354,85.7,0.745,0.6172,0.7599,90.9,0.874,0.8368,0.9195,85.7,0.743,0.6174,0.759,91.2,0.876,0.8323,0.9186,85.5,0.741,0.617,0.758,403
T1096TS403_1,59.09,0.4971,76.7,0.547,0.7176,0.5365,90.5,0.71,0.597,0.4995,75.8,0.543,0.7242,0.5383,88.8,0.614,0.5964,0.498,76.8,0.536,0.6191,0.5098,88.7,0.601,0.5981,0.4989,78,0.534,0.6111,0.5063,88.2,0.589,0.598,0.4993,403
T1031TS473_1-D1,61.97,0.7264,80,0.645,0.6903,0.8132,94.3,0.763,0.633,0.7324,80.9,0.654,0.6858,0.8171,94.2,0.762,0.6346,0.733,79.4,0.655,0.6759,0.7935,94.3,0.762,0.6301,0.7326,81.2,0.662,0.6922,0.819,94.1,0.76,0.6311,0.7325,473
T1033TS473_1-D1,68.94,0.7821,75.3,0.667,0.736,0.8081,87.8,0.702,0.7096,0.7872,74.9,0.671,0.7629,0.8347,86.8,0.692,0.7113,0.7889,74.3,0.645,0.7439,0.8167,86,0.686,0.7126,0.7901,73.9,0.585,0.7649,0.8596,85.5,0.678,0.7115,0.7915,473
T1037TS473_1-D1,57.69,0.8079,88.4,0.888,0.5976,0.8233,93.8,0.85,0.5835,0.8132,90.2,0.894,0.606,0.8277,93.1,0.843,0.5845,0.8141,90.9,0.897,0.6048,0.8271,92.9,0.841,0.5845,0.814,90.9,0.896,0.6042,0.8267,92.6,0.839,0.585,0.8145,473
T1039TS473_1-D1,60.11,0.7982,85.7,0.839,0.6944,0.8455,93.7,0.794,0.609,0.8015,87.1,0.848,0.7088,0.8462,93.3,0.79,0.609,0.8011,86.1,0.839,0.6927,0.8403,93.3,0.787,0.6088,0.801,86.3,0.84,0.6858,0.8402,93,0.783,0.6129,0.8009,473
T1041TS473_1-D1,57.28,0.7171,79.2,0.812,0.8042,0.9114,91.6,0.829,0.5859,0.7175,81.1,0.821,0.6165,0.7394,91.1,0.824,0.586,0.7172,82.2,0.837,0.8159,0.9178,90.8,0.822,0.5863,0.7172,82.1,0.841,0.8218,0.923,90.5,0.82,0.5868,0.7175,473
T1042TS473_1-D1,63.15,0.7331,76,0.72,0.6625,0.7459,81.3,0.71,0.6555,0.7422,76,0.705,0.665,0.7455,78.8,0.685,0.6576,0.7418,76.8,0.704,0.6656,0.7443,77.6,0.666,0.6616,0.7414,76.7,0.704,0.6649,0.7446,76.8,0.657,0.6611,0.7404,473
T1043TS473_1-D1,53.32,0.6625,79.1,0.765,0.577,0.6793,82.1,0.691,0.5749,0.6792,79.8,0.764,0.5785,0.6817,78.4,0.669,0.5877,0.6881,78,0.752,0.5803,0.684,76.5,0.65,0.5979,0.695,75.1,0.736,0.5823,0.6868,74.7,0.639,0.6001,0.6981,473
T1049TS473_1-D1,64.30,0.7710,88.7,0.84,0.8473,0.9323,93.1,0.789,0.6585,0.7855,87.7,0.825,0.8572,0.9352,92,0.781,0.6614,0.787,88.2,0.83,0.8645,0.939,91.4,0.775,0.662,0.7868,88.7,0.834,0.8689,0.9408,91.2,0.772,0.6613,0.7861,473
T1074TS473_1-D1,49.13,0.5764,69.7,0.615,0.834,0.9251,66.4,0.601,0.5081,0.5871,70.6,0.635,0.8728,0.9389,64.8,0.596,0.5088,0.5905,70.4,0.632,0.8841,0.9431,65.4,0.6,0.5114,0.5941,72.3,0.628,0.8462,0.9469,65.2,0.596,0.5123,0.595,473
T1090TS473_1-D1,62.15,0.7674,90.1,0.876,0.6391,0.771,93.1,0.813,0.6318,0.7685,90.5,0.871,0.8341,0.9194,92.8,0.809,0.6318,0.7686,90.5,0.882,0.6401,0.7703,92.8,0.807,0.6313,0.7684,90.5,0.867,0.8398,0.9369,92.6,0.805,0.6323,0.7687,473
T1031TS480_1-D1,60.50,0.7393,80,0.645,0.6903,0.8132,87.2,0.71,0.6271,0.7496,80.5,0.65,0.6909,0.8194,84.1,0.688,0.6282,0.7532,79.3,0.631,0.6826,0.8081,82.7,0.675,0.6286,0.7549,79.8,0.638,0.6831,0.8051,81.6,0.663,0.63,0.7571,480
T1037TS480_1-D1,52.94,0.7791,80,0.828,0.5621,0.7953,88.7,0.832,0.541,0.7819,81.3,0.834,0.5682,0.7996,87.7,0.824,0.5431,0.7833,82.6,0.841,0.5783,0.803,87.4,0.822,0.5428,0.7829,82.4,0.836,0.5864,0.8026,87.1,0.82,0.5425,0.7827,480
T1041TS480_1-D1,56.73,0.7629,77.1,0.804,0.8142,0.9216,87.2,0.797,0.5754,0.7657,78.6,0.809,0.8203,0.923,84.7,0.78,0.5756,0.7653,82,0.84,0.823,0.9233,84.1,0.775,0.577,0.7651,80.7,0.822,0.812,0.9161,83.7,0.77,0.577,0.7655,480
T1042TS480_1-D1,58.45,0.7522,76.9,0.73,0.6071,0.7563,84.4,0.739,0.5967,0.7489,79.7,0.759,0.6042,0.7581,83.6,0.723,0.601,0.755,81.4,0.775,0.6013,0.7565,83.1,0.714,0.6015,0.7557,82.1,0.783,0.6008,0.7563,82.7,0.709,0.6017,0.7558,480
T1049TS480_1-D1,61.50,0.7556,87.6,0.83,0.8496,0.9306,80.8,0.679,0.6658,0.7855,87.2,0.821,0.8571,0.9357,80.5,0.674,0.6722,0.7897,88.4,0.833,0.8704,0.9399,80.5,0.672,0.665,0.7862,88.6,0.834,0.8724,0.9411,80,0.687,0.6651,0.7873,480
T1074TS480_1-D1,42.37,0.4871,68.6,0.609,0.8366,0.9265,62.8,0.586,0.442,0.4915,71.9,0.646,0.846,0.9372,62.1,0.582,0.4394,0.4882,72.4,0.631,0.8484,0.9476,61.6,0.568,0.4394,0.4865,72.1,0.628,0.8492,0.9491,60.6,0.558,0.4386,0.4872,480
T1090TS480_1-D1,55.14,0.6871,88.6,0.856,0.8233,0.9159,83.7,0.737,0.5727,0.6896,90.1,0.865,0.8382,0.9354,81.9,0.725,0.5728,0.6912,90.9,0.874,0.8454,0.9247,80.7,0.716,0.5731,0.6923,91.3,0.88,0.8461,0.9242,79.9,0.708,0.5752,0.6931,480
T1096TS480_1,65.70,0.5345,82.5,0.738,0.6821,0.5405,92.1,0.809,0.6631,0.5349,84.6,0.753,0.6823,0.541,91.4,0.801,0.6643,0.5352,84.8,0.752,0.6808,0.5407,91.4,0.798,0.6638,0.5353,85.6,0.769,0.6803,0.5402,91.3,0.797,0.6639,0.5351,480
