Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1037TS129_1D1,56.72,0.8090,82.4,0.855,59.97,0.8236,89,0.907,57.95,0.8132,81,0.838,62.39,0.8383,87.9,0.898,58.06,0.8141,82.1,0.835,64.27,0.8528,87.7,0.893,58.1,0.8141,82.1,0.833,64.72,0.8525,87.7,0.891,58.14,0.814,129
T1040TS129_1-D1,55.22,0.5051,61.4,0.526,56.53,0.5292,75.7,0.686,56.28,0.5173,60.5,0.435,66.38,0.6436,73.9,0.674,56.34,0.5235,67.2,0.498,65.17,0.5885,72.3,0.662,56.43,0.5255,68.5,0.477,72.42,0.7088,72.1,0.656,56.54,0.5285,129
T1041TS129_1-D1,60.16,0.7672,79.2,0.812,80.42,0.9114,88.5,0.816,61.26,0.7679,81.9,0.833,81.43,0.9172,87.3,0.807,61.95,0.7685,82.2,0.837,81.59,0.9178,87.1,0.807,61.98,0.7685,82.1,0.841,82.18,0.923,87.2,0.808,61.91,0.768,129
T1042TS129_1-D1,56.17,0.7266,70.8,0.615,61.73,0.7349,78.2,0.686,58.15,0.7253,75.4,0.683,68.09,0.6603,78.2,0.676,58.37,0.7255,73.9,0.669,68.49,0.6666,78.5,0.671,58.32,0.7261,75.3,0.682,67.6,0.6847,78.6,0.672,58.32,0.7255,129
T1049TS129_1-D1,55.21,0.6744,89.5,0.838,85.92,0.9373,79.2,0.717,59.44,0.7068,89.8,0.845,86.95,0.9408,77.1,0.699,60.55,0.7153,89.6,0.844,87.27,0.9409,75.9,0.688,60.96,0.7194,89.7,0.841,87.08,0.938,75.4,0.685,60.89,0.7196,129
T1074TS129_1-D1,49.54,0.5912,69.9,0.627,83.63,0.9207,61.4,0.479,57.92,0.6933,71.6,0.627,84.11,0.939,60.1,0.466,61.92,0.7342,72.4,0.629,84.53,0.9435,60.2,0.459,59.14,0.6944,73.7,0.651,90.66,0.9588,59.5,0.46,62.39,0.7229,129
T1090TS129_1-D1,51.62,0.6727,88.7,0.857,82.32,0.9161,79.4,0.778,52.97,0.6788,90.5,0.871,83.41,0.9194,78.4,0.767,53.43,0.679,90.9,0.874,83.68,0.9195,78,0.761,53.05,0.6788,91.2,0.876,83.23,0.9186,77.7,0.756,53.28,0.6779,129
T1096TS129_1,61.31,0.5387,81.6,0.778,66.04,0.5492,89.6,0.875,62.75,0.5437,81.6,0.795,67.13,0.5556,87.8,0.86,62.89,0.5446,80.2,0.789,68.49,0.5623,87.3,0.853,62.98,0.546,79.1,0.786,68.09,0.5629,87,0.853,62.95,0.5461,129
T1027TS403_1-D1,53.27,0.5499,73.2,0.691,57.53,0.6279,58.1,0.545,55.6,0.579,73.4,0.692,58.19,0.6261,58.7,0.549,55.22,0.5797,71.8,0.673,58.72,0.624,58.6,0.544,37.78,0.5803,70.1,0.65,58.16,0.6125,64.9,0.537,37.81,0.5813,403
T1031TS403_1-D1,58.05,0.6284,81.8,0.658,68.49,0.8088,83.6,0.68,61.6,0.6988,80.9,0.69,74.53,0.8349,83.1,0.681,61.85,0.6993,80.7,0.648,68.63,0.8132,82.5,0.645,61.44,0.692,81.2,0.662,69.22,0.819,82.5,0.642,61.65,0.6948,403
T1033TS403_1-D1,69.01,0.6955,75.3,0.667,75.21,0.832,80.1,0.611,74.67,0.7811,78.4,0.678,75.37,0.8302,79.4,0.613,76.19,0.8017,79.2,0.681,74.91,0.8241,78.8,0.613,76.25,0.8079,78.6,0.672,74.48,0.819,78.2,0.608,75.65,0.8058,403
T1037TS403_1-D1,61.10,0.8384,86.1,0.893,63.04,0.8495,92.1,0.862,61.99,0.8395,84.7,0.885,63.31,0.851,92.1,0.86,61.98,0.8392,85.2,0.886,63.55,0.8514,92.2,0.859,61.7,0.8392,85.6,0.885,63.84,0.8513,92.1,0.858,61.67,0.8393,403
T1039TS403_1-D1,54.38,0.7181,87.4,0.854,69,0.8393,90.9,0.794,55.12,0.7077,87.5,0.844,69.61,0.843,89.9,0.783,55.23,0.7079,87.2,0.841,69.94,0.8438,88.2,0.769,55.39,0.7094,86.6,0.839,70.08,0.8494,85.6,0.746,55.85,0.713,403
T1041TS403_1-D1,62.17,0.7787,83,0.835,65.11,0.7924,92.4,0.839,62.48,0.7786,81.9,0.833,81.43,0.9172,92.1,0.836,62.71,0.7801,82.2,0.837,81.59,0.9178,91.9,0.834,63.06,0.7805,82.1,0.841,82.18,0.923,92.2,0.834,63.02,0.7804,403
T1042TS403_1-D1,59.15,0.7533,79.5,0.748,64.14,0.7717,84.4,0.721,60.19,0.7553,78.8,0.74,64.78,0.7713,84.3,0.718,60.26,0.7569,79.2,0.747,64.96,0.7701,84.4,0.712,60.3,0.7567,79.1,0.75,64.96,0.7703,84.5,0.711,60.28,0.7555,403
T1043TS403_1-D1,59.79,0.7211,80.2,0.806,61.62,0.7326,86.2,0.774,60.83,0.7254,79.5,0.803,61.57,0.7337,82.6,0.751,61.1,0.7283,78.7,0.793,61.65,0.7347,80.5,0.736,61.27,0.7299,77.3,0.783,61.7,0.7347,80.4,0.737,61.16,0.7288,403
T1049TS403_1-D1,60.26,0.7354,89.5,0.838,85.92,0.9373,80.3,0.681,63.56,0.7513,89.8,0.845,86.95,0.9408,78.9,0.672,63.6,0.7562,89.6,0.844,87.27,0.9409,78.5,0.652,65.72,0.7661,89.7,0.841,87.08,0.938,78.1,0.648,65.89,0.7682,403
T1090TS403_1-D1,58.45,0.7347,88.7,0.859,80.75,0.907,89.4,0.797,60.26,0.7528,90.5,0.871,83.41,0.9194,88.4,0.787,60.42,0.7543,91.5,0.883,82.89,0.9131,87.9,0.782,60.35,0.7542,91.6,0.884,82.68,0.9123,87.6,0.779,60.21,0.7533,403
T1096TS403_1,59.09,0.4971,82.3,0.642,60.1,0.5024,90.6,0.653,59.64,0.4974,83.1,0.635,60.18,0.503,90.6,0.691,59.67,0.4991,83.6,0.639,60.17,0.5037,90.8,0.682,59.7,0.4992,84.6,0.657,59.95,0.5022,90.8,0.67,59.68,0.4994,403
T1031TS473_1-D1,61.97,0.7264,81.8,0.658,68.49,0.8088,94.7,0.782,63.08,0.7339,83.4,0.712,68.24,0.7965,94.6,0.781,63.36,0.7347,80.7,0.648,68.63,0.8132,94.4,0.78,63.19,0.7346,81.2,0.672,67.51,0.7942,94.3,0.779,63.18,0.7344,473
T1033TS473_1-D1,68.94,0.7821,76,0.603,74.05,0.8159,88,0.672,71.28,0.7842,78.4,0.678,75.37,0.8302,87,0.665,71.77,0.7859,79.2,0.681,74.91,0.8241,86.4,0.656,71.87,0.7879,78.6,0.672,74.48,0.819,86.1,0.65,71.84,0.7897,473
T1037TS473_1-D1,57.69,0.8079,92.8,0.919,58.24,0.8126,94.8,0.864,58.01,0.8108,92.7,0.92,58.36,0.8129,94.7,0.862,58.01,0.8105,92.2,0.918,58.69,0.8138,94.7,0.86,57.99,0.8105,91.9,0.917,58.76,0.8142,94.6,0.859,57.96,0.8103,473
T1039TS473_1-D1,60.11,0.7982,87.4,0.854,69,0.8393,94.3,0.813,60.8,0.7999,87.5,0.844,69.61,0.843,94.6,0.813,61.23,0.7996,87.2,0.841,69.94,0.8438,94.5,0.812,61.25,0.7991,86.6,0.839,70.08,0.8494,94.7,0.813,61.2,0.7992,473
T1041TS473_1-D1,57.28,0.7171,82.5,0.84,62.14,0.7429,92.7,0.845,58.37,0.7186,81.9,0.833,81.43,0.9172,92.4,0.843,58.34,0.7186,84.1,0.839,60.76,0.7335,92.6,0.842,58.32,0.7185,85.4,0.847,60.52,0.7315,92.8,0.842,58.21,0.7183,473
T1042TS473_1-D1,63.15,0.7331,79,0.738,66.19,0.7483,83.7,0.734,65.29,0.7445,77.8,0.725,66.47,0.7463,82.6,0.718,65.41,0.7443,78.2,0.732,66.41,0.7451,82.3,0.71,65.42,0.7453,77.8,0.725,66.38,0.7447,82.4,0.709,65.33,0.7454,473
T1043TS473_1-D1,53.32,0.6625,87,0.835,55.79,0.6714,88.6,0.772,55.39,0.6696,86.5,0.831,57.04,0.6747,88.3,0.769,56.94,0.6734,85.7,0.821,57.1,0.6758,88.1,0.768,56.8,0.6722,84.4,0.813,57.25,0.6773,88,0.765,56.7,0.6712,473
T1049TS473_1-D1,64.30,0.7710,89.5,0.838,85.92,0.9373,93.7,0.785,66.02,0.7798,89.8,0.845,86.95,0.9408,93.4,0.783,66.01,0.7814,89.6,0.844,87.27,0.9409,93.1,0.78,66.11,0.7818,89.7,0.841,87.08,0.938,92.8,0.775,66.11,0.7822,473
T1074TS473_1-D1,49.13,0.5764,69.9,0.627,83.63,0.9207,69.2,0.588,50.25,0.5833,71.6,0.627,84.11,0.939,68.7,0.588,50.22,0.5834,72.4,0.629,84.53,0.9435,68.4,0.58,50.31,0.5841,73.7,0.651,90.66,0.9588,67.1,0.568,50.47,0.5858,473
T1090TS473_1-D1,62.15,0.7674,92.5,0.896,63.55,0.7682,94.4,0.834,63.06,0.7676,91.3,0.888,63.69,0.7688,94.4,0.833,62.87,0.7674,90.9,0.874,83.68,0.9195,94.2,0.83,62.86,0.7671,91.2,0.876,83.23,0.9186,94.1,0.829,62.91,0.7676,473
T1031TS480_1-D1,60.50,0.7393,81.8,0.658,68.49,0.8088,92.5,0.766,62.57,0.7499,80.9,0.654,68.57,0.8171,93.3,0.773,62.49,0.7481,80.7,0.648,68.63,0.8132,93.7,0.777,62.41,0.7463,81.2,0.662,69.22,0.819,94.1,0.78,62.28,0.7448,480
T1037TS480_1-D1,52.94,0.7791,84.9,0.879,54.88,0.7878,90.4,0.855,53.8,0.7809,85,0.88,55.2,0.7902,89.9,0.851,53.89,0.7811,84.8,0.879,55.38,0.7875,89.7,0.849,53.82,0.7805,83.8,0.874,55.75,0.7897,89.7,0.848,53.79,0.7802,480
T1041TS480_1-D1,56.73,0.7629,79.2,0.812,80.42,0.9114,89,0.82,57.45,0.7657,81.9,0.833,81.43,0.9172,88.5,0.817,57.43,0.7658,82.2,0.837,81.59,0.9178,88.9,0.819,57.37,0.7653,82.1,0.841,82.18,0.923,89.5,0.822,57.36,0.7654,480
T1042TS480_1-D1,58.45,0.7522,82.7,0.797,59.87,0.7562,86.7,0.764,59.61,0.7533,83.7,0.811,59.9,0.7553,86.9,0.762,59.63,0.7544,84.7,0.819,59.8,0.7547,87,0.762,59.94,0.758,84.9,0.819,59.63,0.7534,87.1,0.761,60,0.76,480
T1049TS480_1-D1,61.50,0.7556,90.3,0.846,85.6,0.9337,81.9,0.708,66.18,0.783,90.2,0.848,86.72,0.9374,80.8,0.698,66.48,0.7872,89.9,0.845,86.97,0.9378,80.5,0.672,67.38,0.79,89.9,0.843,87.16,0.9378,80.2,0.668,67.4,0.7894,480
T1074TS480_1-D1,42.37,0.4871,68.7,0.621,81.9,0.9115,65.1,0.612,44.56,0.4905,72,0.628,84.85,0.9458,63,0.592,44.29,0.4901,73.7,0.651,86.68,0.9595,63,0.582,43.88,0.4885,73.7,0.653,87.2,0.9624,63,0.571,43.81,0.4864,480
T1090TS480_1-D1,55.14,0.6871,88.7,0.857,82.32,0.9161,88.4,0.785,56.69,0.6884,90.5,0.871,83.41,0.9194,87.9,0.784,56.51,0.6887,90.9,0.877,83.68,0.9195,87.1,0.777,56.75,0.6892,91.4,0.875,82.89,0.9183,86.8,0.774,57.01,0.6893,480
T1096TS480_1,65.70,0.5345,86.8,0.796,67.01,0.5377,93.7,0.831,66.7,0.5359,87,0.806,67.14,0.5378,93.3,0.827,66.73,0.536,87.5,0.816,67.42,0.5377,93.1,0.824,66.7,0.5359,87.9,0.832,67.41,0.5378,93.1,0.82,66.61,0.536,480
