Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1049TS403_1-D1,60.26,0.7354,87.4,,0.8393,,31.2,,0.2544,,86.8,,0.8524,,30.4,,0.2613,,86.3,,0.8513,,30.3,,0.2461,,85.5,,0.8518,,29.5,,0.2444,,403
T1090TS403_1-D1,58.45,0.7347,88.6,,0.8233,,32.9,,0.2322,,90.1,,0.8479,,36.6,,0.2444,,90.8,,0.8459,,35.9,,0.2491,,91.1,,0.8434,,37.7,,0.2528,,403
T1096TS403_1,59.09,0.4971,74.7,,0.6192,,30.2,,0.3001,,75.4,,0.624,,30.6,,0.3139,,76,,0.7241,,30.2,,0.3131,,74.3,,0.7258,,30.3,,0.3109,,403
T1031TS473_1-D1,61.97,0.7264,77.4,,0.6777,,56.9,,0.3107,,80.5,,0.6909,,58.5,,0.312,,79.3,,0.6826,,58.3,,0.3111,,79.8,,0.6831,,60.3,,0.3103,,473
T1033TS473_1-D1,68.94,0.7821,75.3,,0.752,,51.4,,0.3562,,74.2,,0.7639,,52.7,,0.3611,,73.3,,0.7506,,55,,0.3639,,73.4,,0.7514,,59.9,,0.3663,,473
T1037TS473_1-D1,57.69,0.8079,79.8,,0.7128,,29.3,,0.2094,,79.1,,0.7187,,29.2,,0.2197,,79.6,,0.7161,,29,,0.2222,,79.4,,0.7161,,28.7,,0.2241,,473
T1039TS473_1-D1,60.11,0.7982,84.7,,0.7041,,44.3,,0.3417,,85.5,,0.6968,,46.6,,0.3597,,85.3,,0.7111,,45.5,,0.3419,,85.4,,0.71,,45.1,,0.3476,,473
T1041TS473_1-D1,57.28,0.7171,78.5,,0.6222,,32.3,,0.2576,,80.2,,0.6273,,34.2,,0.2236,,82,,0.823,,44.4,,0.2285,,81,,0.6202,,55.2,,0.225,,473
T1042TS473_1-D1,63.15,0.7331,64.5,,0.6525,,34,,0.286,,75.4,,0.6809,,32,,0.2908,,73.9,,0.6849,,32.3,,0.2943,,75.3,,0.676,,32.1,,0.2957,,473
T1043TS473_1-D1,53.32,0.6625,32.7,,0.2043,,36.7,,0.2364,,33.2,,0.2027,,36,,0.2535,,32.8,,0.2354,,39.7,,0.2588,,36,,0.2718,,45.4,,0.2599,,473
T1049TS473_1-D1,64.30,0.7710,87.4,,0.8393,,31.2,,0.2544,,86.8,,0.8524,,30.4,,0.2613,,86.3,,0.8513,,30.3,,0.2461,,85.5,,0.8518,,29.5,,0.2444,,473
T1074TS473_1-D1,49.13,0.5764,68.3,,0.8103,,35,,0.3594,,68.5,,0.8137,,36.7,,0.3795,,67.7,,0.8149,,39.6,,0.3962,,67.2,,0.8163,,42.4,,0.384,,473
T1090TS473_1-D1,62.15,0.7674,88.7,,0.8232,,32.9,,0.2322,,90.1,,0.8383,,36.6,,0.2443,,90.4,,0.8445,,35.9,,0.2491,,90,,0.8334,,37.7,,0.2528,,473
T1031TS480_1-D1,60.50,0.7393,77.4,,0.6777,,56.9,,0.3107,,79,,0.6867,,58.5,,0.312,,78.4,,0.6911,,58.3,,0.3111,,78.9,,0.6924,,60.3,,0.3103,,480
T1037TS480_1-D1,52.94,0.7791,79.9,,0.7174,,29.3,,0.2094,,78.8,,0.723,,29.2,,0.2196,,79.7,,0.7187,,29,,0.2222,,80.1,,0.718,,28.7,,0.2242,,480
T1041TS480_1-D1,56.73,0.7629,74,,0.7965,,32.3,,0.2576,,73.9,,0.7179,,34.2,,0.2236,,75.2,,0.8039,,44.4,,0.2285,,75.3,,0.7235,,55.2,,0.2249,,480
T1042TS480_1-D1,58.45,0.7522,62.8,,0.6243,,34,,0.286,,73.8,,0.6898,,32,,0.2909,,74.5,,0.6866,,32.3,,0.2943,,75,,0.6793,,32.1,,0.2958,,480
T1049TS480_1-D1,61.50,0.7556,86.2,,0.8314,,31.2,,0.2544,,86.1,,0.8487,,30.4,,0.2613,,86.1,,0.8505,,30.3,,0.2461,,85.3,,0.8541,,29.5,,0.2443,,480
T1074TS480_1-D1,42.37,0.4871,67.7,,0.8149,,35,,0.3594,,67.3,,0.8154,,36.7,,0.3795,,68.2,,0.8135,,39.6,,0.3962,,67.6,,0.8112,,42.3,,0.3838,,480
T1090TS480_1-D1,55.14,0.6871,87.8,,0.8178,,32.9,,0.2322,,89.4,,0.8359,,36.6,,0.2443,,90.8,,0.8305,,35.9,,0.2491,,91.2,,0.8323,,37.7,,0.2528,,480
T1096TS480_1,65.70,0.5345,76.7,,0.7176,,30.2,,0.3001,,75.8,,0.7242,,30.6,,0.314,,76,,0.7241,,30.2,,0.3131,,74.3,,0.7258,,30.3,,0.3109,,480
